,Media Source,Tweets Ago,Date,Positive,Negative,Neutral,Compound,Text
112,@CBS,13,Tue Apr 10 19:00:03 +0000 2018,0.248,0.688,0.064,0.6124,"Today's biggest artists including @littlebigtown, @edsheeran &amp; @MarenMorris share what an honor it is to pay their… https://t.co/1Ebr8feo0R"
113,@CBS,14,Tue Apr 10 15:30:00 +0000 2018,0.253,0.747,0.0,0.6976,"The legendary @eltonofficial said ""It's the most wonderful feeling when someone records your song or sings your son… https://t.co/Krlqs3qNck"
114,@CBS,15,Mon Apr 09 20:00:00 +0000 2018,0.221,0.779,0.0,0.6597,"Are you ready for a good time? Tomorrow, Elton John: I’m Still Standing - A GRAMMY®￼ Salute airs at 9/8c on CBS and… https://t.co/Z3Mnp1cJPa"
115,@CBS,16,Mon Apr 09 17:29:47 +0000 2018,0.0,1.0,0.0,0.0,"@edsheeran, @KeshaRose, @HaileeSteinfeld, @ActuallyNPH, and many more describe the impact that the music of Elton J… https://t.co/wBwzWcWGAa"
116,@CBS,17,Mon Apr 09 17:00:02 +0000 2018,0.0,1.0,0.0,0.0,"Lights will come on for @Jason_Aldean when he takes the stage to perform at the 53rd #ACMawards on Sunday, April 15… https://t.co/qPAbrFp4kQ"
117,@CBS,18,Mon Apr 09 15:00:00 +0000 2018,0.129,0.784,0.086,0.2732,Which state does @reba call home and which song was her first No. 1 single? Test your knowledge of the beloved coun… https://t.co/Sp8icKpFNu
118,@CBS,19,Mon Apr 09 13:36:00 +0000 2018,0.214,0.786,0.0,0.6239,This just in! Thirteen-time ACM Award® winner @carrieunderwood will be performing her soon-to-be-released single li… https://t.co/GEyjt4lFbb
119,@CBS,20,Mon Apr 09 01:42:06 +0000 2018,0.28,0.72,0.0,0.6467,It's time to celebrate! @MomCBS will be back for Season 6! https://t.co/ianxp6JWHq
120,@CBS,21,Sun Apr 08 22:00:01 +0000 2018,0.258,0.742,0.0,0.7096,@OldDominion's Matthew Ramsey is here with a friendly reminder - Country Music’s Party Of The Year® is just seven d… https://t.co/SFnXxQLoPN
121,@CBS,22,Sun Apr 08 18:38:13 +0000 2018,0.146,0.854,0.0,0.5562,It all comes down to this! Stream Round 4 of #TheMasters Tournament on CBS live with a free trial of CBS All Access… https://t.co/mNFSAUkLvZ
122,@CBS,23,Sun Apr 08 15:00:00 +0000 2018,0.108,0.892,0.0,0.4199,"@reba is ready for her hosting duties! In just one week, watch her take the stage at the 53rd #ACMawards. Tune in A… https://t.co/TmjezmqPme"
